lab_canonical_id,lab_primary_name,level,value_percent,value_multiplier,unlock,source_page,source_url,verification_status,unlock_consensus_status
LAB_WALL_FORTIFICATION,Wall Fortification,1,20,1.2,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,2,40,1.4,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,3,60,1.6,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,4,80,1.8,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,5,100,2.0,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,6,120,2.2,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,7,140,2.4,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,8,160,2.6,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,9,180,2.8,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,10,200,3.0,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
LAB_WALL_FORTIFICATION,Wall Fortification,11,220,3.2,Tier 14 Wave 60,Wall Labs/Wall Fortification,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Fortification,externally_verified_against_live_wiki_2026-03-14,wiki_conflict_dedicated_page_t14w60_vs_milestones_page_t14w40
