lab_canonical_id,lab_primary_name,level,value,unit,unlock,source_page,source_url,verification_status
LAB_WALL_INVINCIBILITY,Wall Invincibility,1,1.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,2,2.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,3,3.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,4,4.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,5,5.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,6,6.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,7,7.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,8,8.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,9,9.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
LAB_WALL_INVINCIBILITY,Wall Invincibility,10,10.0,seconds,Tier 12 Wave 10,Wall Labs/Wall Invincibility,https://the-tower-idle-tower-defense.fandom.com/wiki/Wall_Labs/Wall_Invincibility,externally_verified_against_live_wiki_2026-03-15
