track,work_item,status,verification
Calculator baseline,Retain regenerated calculator baseline and audit rail,Done,Verified by continuing from R07 baseline and prior canonical output rule
Calculator baseline,Adopt helper-formula policy for non-canonical but useful derived formulas,Done,Verified by R08 policy note and ledger reclassification
EP stat compilation,Manually classify EPD_SPB,Done,Verified from EP mechanics definition and existing package SPB/perk notes
EP stat compilation,Manually classify EPD_SHOCKWAVE_DAMAGE,Done,Verified from EP mechanics definition and existing shockwave/ACP-related modeled inputs
EP stat compilation,Prove full EP implementation coverage,Not done / not proven,Remaining no-current-surface/out-of-scope bucket still exists
EP stat compilation,Prove full EP output wiring,Not done / not proven,Universal one-to-one output wiring still not established
KB oracle harness,Keep regenerated output baseline as governance truth source,Done,Verified by prior R05 harness gate and continued audit-rail usage
KB oracle harness,Update readiness claim after helper reclassification,Done,Verified in R08 note: helper formulas retained deliberately rather than treated as missing core stats
Optimiser,Treat retained helper formulas as future optimiser/helper-output candidates,Done,Verified by explicit policy recommendation in R08 note
Optimiser,Define optimiser interface from trusted calculator outputs and helper plane,Remaining,Not yet verified
