Track,Work item,Status,Verification
Calculator baseline,Carry forward regenerated calculator baseline from R14,Done,Verified from existing regenerated output snapshot under output/
Calculator baseline,Expand optimiser whitelist using emitted resolved rows only,Done,Verified by 32-row OPTIMISER_INTERFACE_LEDGER_R15.csv populated from output/statbook_publishable.json
Calculator baseline,Keep helper-plane rows separated from canonical plane in optimiser contract,Done,Verified by explicit output_plane column and tiered whitelist
EP stat compilation,Retain copied-forward fresher EP registry in calculator KB,Done,Verified by prior baseline reconciliation; no regression introduced in this doc-only iteration
EP stat compilation,Use EP-driven helper work to justify optimiser helper additions,Done,"Verified by inclusion of previously promoted helper rows (Plasma Cannon, BH/DW/SL coin bonuses) and helper-adjacent econ rows"
EP stat compilation,Prove full EP implementation coverage,Not done / not proven,R15 expands optimiser contract only; it does not establish universal EP parity
EP stat compilation,Prove full EP output wiring,Not done / not proven,R15 relies on emitted resolved subset only
KB oracle harness,Carry forward refreshed completion verdict after helper expansion,Done,Verified from prior R13 completion refresh; no output mutation in R15
KB oracle harness,Re-run completion gate after optimiser interface expansion,Not needed this iteration,R15 is a contract-definition iteration with no code/output changes
Optimiser,Expand trusted optimiser interface beyond 9-row seed,Done,Verified by 32-row whitelist in OPTIMISER_INTERFACE_LEDGER_R15.csv
Optimiser,Define trust tiers and domain labels for optimiser rows,Done,Verified by trust_tier and optimizer_domain columns in ledger
Optimiser,Implement optimiser consumption against expanded contract,Remaining,Not yet verified
