track,work_item,status,verification
Calculator baseline,Carry forward regenerated calculator baseline and existing helper-plane emissions,Done,Verified by using whitelisted emitted resolved rows from output/statbook_publishable.json
Calculator baseline,Export concrete optimiser payload from whitelist,Done,Verified by output/optimizer_payload_r16.json and output/optimizer_payload_r16.csv containing 32 whitelisted resolved rows
Calculator baseline,Keep planes distinct in downstream payload,Done,Verified by output_plane field preserved for all rows
EP stat compilation,Retain copied-forward fresher EP registry in calculator KB,Done,No regression introduced; payload built from existing calculator outputs and prior EP integration work
EP stat compilation,Use EP-driven helper integration work indirectly in payload row set,Done,Verified by inclusion of promoted helper rows originally justified from EP helper/econ formulas
EP stat compilation,Prove full EP implementation coverage,Not done / not proven,R16 is payload export only and does not establish universal EP parity
EP stat compilation,Prove full EP output wiring,Not done / not proven,Payload is restricted to already emitted resolved whitelist rows
KB oracle harness,Carry forward refreshed completion verdict after helper expansion,Done,No emitted formula changes in R16; prior R13 readiness remains applicable
KB oracle harness,Re-run completion gate after payload export,Not needed this iteration,R16 is downstream export only with no calculator output mutation
Optimiser,Convert whitelist contract into concrete downstream payload,Done,Verified by optimizer_payload_r16 JSON and CSV exports
Optimiser,Preserve downstream-only boundary,Done,Verified by R16 export note and absence of canon/formula mutations
Optimiser,Add domain-sliced payload variants,Remaining,Not yet verified
