Track,Work item,Status,Verification
Calculator baseline,"Merge perk timeline generator code, tables, and tests into cleaned calculator baseline",Done,"Verified files copied into baseline under scripts/, tower_sim/, kb/perks/, and tests/"
Calculator baseline,Make generated perk timeline authoritative for max_progression fallback,Done,Verified `run_stats.py` now generates `input/perks_projected_max.json` and diagnostics when primary perks config has no active preset
Calculator baseline,Regenerate canonical outputs with generated max progression perks,Done,Verified successful `python run_stats.py` and `out/diagnostics.json` fallback reason `max_progression_generated_from_timeline_policy`
Calculator baseline,Preserve existing calculator functionality after merge,Done,Verified `pytest -q tests/test_smoke.py tests/test_perk_tables.py` passes
EP stat compilation,Retain fresher EP registry in baseline during perk merge,Done,No regression introduced in this merge; baseline files preserved
EP stat compilation,Prove full EP implementation/output parity,Not done / not proven,Perk timeline merge does not change overall EP parity status
KB oracle harness,Add explicit handover note for perk timeline integration,Done,Verified R23 governance note and summary CSV
KB oracle harness,Re-run full completion gate after perk merge,Remaining,Not yet re-verified in this iteration
Optimiser,Keep optimiser downstream-only during perk merge,Done,No optimiser logic changed; only calculator perk availability path changed
Optimiser,Integrate optimiser with generated perk timeline outputs,Remaining,Not yet verified
