track,work_item,status,verification
Calculator baseline,Carry forward regenerated calculator baseline and audit rail,Done,Verified by continuing from R09 baseline and canonical `output/` rule
Calculator baseline,Define helper output plane policy,Done,Verified by `R10_HELPER_OUTPUT_PLANE_POLICY.md`
Calculator baseline,Define helper/optimizer output schema,Done,Verified by `R10_HELPER_OUTPUT_SCHEMA.md`
EP stat compilation,Retain copied-forward fresher EP mechanics registry in calculator KB,Done,Verified by existing mechanics registry metadata `ep_v5.03.02_extract_2026-03-17`
EP stat compilation,Reclassify helper formulas as eventual emitted helper-plane rows rather than missing formulas,Done,Verified by `HELPER_OUTPUT_CANDIDATE_LEDGER_R10.csv`
EP stat compilation,Prove full EP implementation coverage,Not done / not proven,Helper-plane policy improves architecture but does not establish universal EP parity
EP stat compilation,Prove full EP output wiring,Not done / not proven,Most helper formulas remain retained/not-yet-emitted
KB oracle harness,Reflect helper-plane policy in governance posture,Done,Verified by R10 helper output policy and schema docs
KB oracle harness,Re-run completion gate including helper-plane distinction,Remaining,Not yet verified
Optimiser,Treat helper formulas as eventual optimizer-facing outputs,Done,Verified by helper-plane policy and schema
Optimiser,Define first emitted helper row set for optimizer,Done,Verified by near-term emit candidates in `HELPER_OUTPUT_CANDIDATE_LEDGER_R10.csv`
Optimiser,Implement/emits helper plane rows in calculator outputs,Remaining,Not yet verified
