track,work_item,status,verification
Calculator baseline,Carry forward regenerated calculator baseline and helper-plane emissions,Done,Verified from current regenerated `output/` state in R13 baseline
Calculator baseline,Define optimiser-facing multi-plane contract,Done,Verified by `R14_OPTIMISER_INTERFACE_CONTRACT.md`
Calculator baseline,Define row-level optimiser interface schema,Done,Verified by `R14_OPTIMISER_INTERFACE_SCHEMA.md`
EP stat compilation,Keep copied-forward fresher EP registry available as helper/enrichment source,Done,Verified by prior copied-forward mechanics registry retained in baseline
EP stat compilation,Use EP/helper integration work to justify helper-plane optimiser seed rows,Done,Verified by inclusion of Plasma Cannon and BH/DW/SL helper rows in `OPTIMISER_INTERFACE_LEDGER_R14.csv`
EP stat compilation,Prove full EP implementation coverage,Not done / not proven,Beyond current optimiser-contract definition
EP stat compilation,Prove full EP output wiring,Not done / not proven,Optimiser contract does not establish universal EP wiring
KB oracle harness,Carry forward refreshed completion verdict after helper expansion,Done,Verified from prior R13 completion refresh verdict `usable_with_caveats_not_fully_complete`
KB oracle harness,Re-run completion gate after optimiser contract definition,Not needed this iteration,No emitted-output change in R14
Optimiser,Define first trusted optimiser interface over canonical + helper planes,Done,Verified by `OPTIMISER_INTERFACE_LEDGER_R14.csv`
Optimiser,Keep optimiser bounded as downstream consumer only,Done,Explicitly stated in `R14_OPTIMISER_INTERFACE_CONTRACT.md`
Optimiser,Expand optimiser interface beyond seed set,Remaining,Not yet verified
