entity_id,canonical_name,track_family,track_name,source_surface,status
UW_BLACK_HOLE,Black Hole,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_BLACK_HOLE,Black Hole,base_upgrade,Duration,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_BLACK_HOLE,Black Hole,base_upgrade,Size,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_BLACK_HOLE,Black Hole,plus_upgrade,Consume,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_CHAIN_LIGHTNING,Chain Lightning,base_upgrade,Chance,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHAIN_LIGHTNING,Chain Lightning,base_upgrade,Damage,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHAIN_LIGHTNING,Chain Lightning,base_upgrade,Quantity,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHAIN_LIGHTNING,Chain Lightning,plus_upgrade,Smite,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_CHRONO_FIELD,Chrono Field,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHRONO_FIELD,Chrono Field,base_upgrade,Duration,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHRONO_FIELD,Chrono Field,base_upgrade,Speed Reduction,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_CHRONO_FIELD,Chrono Field,plus_upgrade,Chrono Loop,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_DEATH_WAVE,Death Wave,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_DEATH_WAVE,Death Wave,base_upgrade,Damage,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_DEATH_WAVE,Death Wave,base_upgrade,Quantity,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_DEATH_WAVE,Death Wave,plus_upgrade,Kill Wall,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_DEATH_WAVE,Death Wave,cooldown_step_cost,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv,active
UW_GOLDEN_TOWER,Golden Tower,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_GOLDEN_TOWER,Golden Tower,base_upgrade,Multiplier,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_GOLDEN_TOWER,Golden Tower,plus_upgrade,Golden Combo,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_GOLDEN_TOWER,Golden Tower,cooldown_step_cost,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv,active
UW_INNER_LAND_MINES,Inner Land Mines,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_INNER_LAND_MINES,Inner Land Mines,base_upgrade,Damage,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_INNER_LAND_MINES,Inner Land Mines,base_upgrade,Quantity,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_INNER_LAND_MINES,Inner Land Mines,plus_upgrade,Charged Mines,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_POISON_SWAMP,Poison Swamp,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_POISON_SWAMP,Poison Swamp,base_upgrade,Damage,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_POISON_SWAMP,Poison Swamp,base_upgrade,Duration,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_POISON_SWAMP,Poison Swamp,plus_upgrade,Death Creep,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_SMART_MISSILES,Smart Missiles,base_upgrade,Cooldown,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SMART_MISSILES,Smart Missiles,base_upgrade,Damage,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SMART_MISSILES,Smart Missiles,base_upgrade,Quantity,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SMART_MISSILES,Smart Missiles,plus_upgrade,Cover Fire,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
UW_SPOTLIGHT,Spotlight,base_upgrade,Angle,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SPOTLIGHT,Spotlight,base_upgrade,Multiplier,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SPOTLIGHT,Spotlight,base_upgrade,Quantity,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,active
UW_SPOTLIGHT,Spotlight,plus_upgrade,Light Range,kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,active
