guardian,attribute,level,value,cost,is_max,source_path,source_sha256,source_modified_utc,source_sheet
Attack,Percentage,0,0.01,0.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Cooldown,0,120.0,0.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Targets,0,1.0,0.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Percentage,1,0.02,25.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Cooldown,1,119.0,1.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Targets,1,2.0,100.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Percentage,2,0.03,50.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Cooldown,2,118.0,2.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Targets,2,3.0,200.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Percentage,3,0.04,75.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Cooldown,3,117.0,3.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Targets,3,4.0,300.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
Attack,Percentage,4,0.05,100.0,False,tables/effective_paths/copy_of_guardians_v2_2_5.xlsx,9f5f64efaa063631ec996d2102d92af6a79053efdcc4d775e0ee18b98c763484,2026-01-28T23:44:19.093888+00:00,DVT_Guardians
