source_scope,row_type,source_contract,old_bucket,old_id,new_bucket,new_id,reason,review_status,confidence,notes
compiler_routing,concrete,query_routing.py,capability,capability.energy_shield.enabled,state,state::capability.energy_shield.enabled,owned capability flag belongs to state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,capability,capability.plasma_cannon.enabled,state,state::capability.plasma_cannon.enabled,owned capability flag belongs to state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,capability,capability.random_uw_unlock.enabled,state,state::capability.random_uw_unlock.enabled,owned capability flag belongs to state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,capability,capability.recovery_package.after_boss,state,state::capability.recovery_package.after_boss,owned capability flag belongs to state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,capability,capability.second_wind.enabled,state,state::capability.second_wind.enabled,owned capability flag belongs to state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,laboratory.speed_multiplier,state,state::meta.lab_speed_multiplier,persistent account-owned meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,workshop_attack_cost_reduction_pct,state,state::meta.workshop_attack_cost_reduction_pct,persistent account-owned meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,workshop_defense_cost_reduction_pct,state,state::meta.workshop_defense_cost_reduction_pct,persistent account-owned meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,workshop_utility_cost_reduction_pct,state,state::meta.workshop_utility_cost_reduction_pct,persistent account-owned meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,lab_coin_cost_reduction_pct,state,state::meta.lab_coin_cost_reduction_pct,persistent account-owned meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,meta_progression_param,milestones.waves_required_delta,state,state::meta.milestones.waves_required_delta,persistent account/meta progression quantity,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,combat.orb_boss_hit_pct,state,state::combat.orb_boss_hit_pct,compiler-routed runtime combat effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.aoe.active,state,state::cards.aoe.active,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.aoe.level,state,state::cards.aoe.level,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.berserker.absorbed_damage_pct,state,state::cards.berserker.absorbed_damage_pct,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,stat_input_compiler.py,runtime_mechanic_param,cards.berserker.assumed_bonus_multiplier,state,state::cards.berserker.assumed_bonus_multiplier,explicit Berserker full-stack runtime assumption is current run-owned state,approved,high,Hardening F explicit runtime-owned Berserker assumption
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.critical_coin.bonus_multiplier,state,state::cards.critical_coin.bonus_multiplier,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.death_ray.duration_seconds,state,state::cards.death_ray.duration_seconds,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
compiler_routing,concrete,query_routing.py,runtime_mechanic_param,cards.demon_mode.duration_seconds,state,state::cards.demon_mode.duration_seconds,compiler-routed runtime card effect is current run-owned state,approved,high,Added from compiler routing audit
