entity_id,canonical_name,track_name,min_level,max_level,source_surface,status
BOT_AMPLIFY_BOT,Amplify Bot,bonus_multiplier_x,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_AMPLIFY_BOT,Amplify Bot,cooldown_seconds,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_AMPLIFY_BOT,Amplify Bot,duration_seconds,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_AMPLIFY_BOT,Amplify Bot,range_meters,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_FLAME_BOT,Flame Bot,cooldown_seconds,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_FLAME_BOT,Flame Bot,damage_multiplier_x,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_FLAME_BOT,Flame Bot,damage_reduction_pct,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_FLAME_BOT,Flame Bot,range_meters,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_GOLDEN_BOT,Golden Bot,bonus_multiplier_x,0,30,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_GOLDEN_BOT,Golden Bot,cooldown_seconds,0,15,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_GOLDEN_BOT,Golden Bot,duration_seconds,0,30,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_GOLDEN_BOT,Golden Bot,range_meters,0,15,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_THUNDER_BOT,Thunder Bot,cooldown_seconds,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_THUNDER_BOT,Thunder Bot,duration_seconds,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_THUNDER_BOT,Thunder Bot,linger_seconds,0,21,kb/bots/tables/bot-upgrade-tracks-long.csv,active
BOT_THUNDER_BOT,Thunder Bot,range_meters,0,16,kb/bots/tables/bot-upgrade-tracks-long.csv,active
