guardian_id,guardian_name,track_attribute,level,value,cost_bits,is_max,source_sheet,status
GUARDIAN_ATTACK,Attack,percentage,0,0.01,0.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,0,120.0,0.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,0,1.0,0.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,percentage,1,0.02,25.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,1,119.0,1.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,1,2.0,100.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,percentage,2,0.03,50.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,2,118.0,2.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,2,3.0,200.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,percentage,3,0.04,75.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,3,117.0,3.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,3,4.0,300.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,percentage,4,0.05,100.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,4,116.0,4.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,4,5.0,400.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,percentage,5,0.060000000000000005,125.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,cooldown,5,115.0,5.0,False,DVT_Guardians,normalized_from_guardian_upgrades
GUARDIAN_ATTACK,Attack,targets,5,6.0,500.0,False,DVT_Guardians,normalized_from_guardian_upgrades
