,,1950,,,9600,,5700,,9600,,,,,9600,,5700,,9600,,,,,9600,,5700,,9600,,,,,9600,,5700,,9600,,,
,,,,,,,,,,,5700,,,,,,,,,5700,,,,,,,,,5700,,,,,,,,,5700,
,Unlock Costs per Bot,,,Flame Bot,,,,,,,,,Thunder Bot,,,,,,,,,Golden Bot,,,,,,,,,Amplify Bot,,,,,,,,
,# Bots,Cost,,Damage R.,Cost,Cooldown,Cost,Damage,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Linger,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Bonus,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Bonus,Cost,Range,Cost,
BOT UNLOCKS,0.0,0.0,FLAME BOT,0.2,0.0,75.0,0.0,50.0,0.0,30.0,0.0,THUNDER BOT,5.0,0.0,120.0,0.0,0.2,0.0,25.0,0.0,GOLDEN BOT,20.0,0.0,120.0,0.0,2.0,0.0,20.0,0.0,AMPLIFY BOT,20.0,0.0,120.0,0.0,3.5,0.0,25.0,0.0,
,1.0,150.0,,0.23,100.0,72,100.0,58,100.0,34,100.0,,5.5,100.0,117,100.0,0.23,100.0,28,100.0,,20.5,100.0,117,100.0,2.2,100.0,22,100.0,,20.5,100.0,117,100.0,3.9,100.0,27,100.0,
,2.0,300.0,,0.26,140.0,69,140.0,66,140.0,38,140.0,,6,140.0,114,140.0,0.26,140.0,31,140.0,,21,140.0,114,140.0,2.4,140.0,24,140.0,,21,140.0,114,140.0,4.3,140.0,29,140.0,
,3.0,600.0,,0.29,180.0,66,180.0,74,180.0,42,180.0,,6.5,180.0,111,180.0,0.29,180.0,34,180.0,,21.5,180.0,111,180.0,2.6,180.0,26,180.0,,21.5,180.0,111,180.0,4.7,180.0,31,180.0,
,4.0,900.0,,0.32,220.0,63,220.0,82,220.0,46,220.0,,7,220.0,108,220.0,0.32,220.0,37,220.0,,22,220.0,108,220.0,2.8,220.0,28,220.0,,22,220.0,108,220.0,5.1,220.0,33,220.0,
,,,,0.35,260.0,60,260.0,90,260.0,50,260.0,,7.5,260.0,105,260.0,0.35,260.0,40,260.0,,22.5,260.0,105,260.0,3,260.0,30,260.0,,22.5,260.0,105,260.0,5.5,260.0,35,260.0,
,,,,0.38,300.0,57,300.0,98,300.0,54,300.0,,8,300.0,102,300.0,0.38,300.0,43,300.0,,23,300.0,102,300.0,3.2,300.0,32,300.0,,23,300.0,102,300.0,5.9,300.0,37,300.0,
,,,,0.41,340.0,54,340.0,106,340.0,58,340.0,,8.5,340.0,99,340.0,0.41,340.0,46,340.0,,23.5,340.0,99,340.0,3.4,340.0,34,340.0,,23.5,340.0,99,340.0,6.3,340.0,39,340.0,
,,,,0.44,380.0,51,380.0,114,380.0,62,380.0,,9,380.0,96,380.0,0.44,380.0,49,380.0,,24,380.0,96,380.0,3.6,380.0,36,380.0,,24,380.0,96,380.0,6.7,380.0,41,380.0,
,,,,0.47,420.0,48,420.0,122,420.0,66,420.0,,9.5,420.0,93,420.0,0.47,420.0,52,420.0,,24.5,420.0,93,420.0,3.8,420.0,38,420.0,,24.5,420.0,93,420.0,7.1,420.0,43,420.0,
,,,,0.5,460.0,45,460.0,130,460.0,70,460.0,,10,460.0,90,460.0,0.5,460.0,55,460.0,,25,460.0,90,460.0,4,460.0,40,460.0,,25,460.0,90,460.0,7.5,460.0,45,460.0,
,,,,0.53,500.0,42,500.0,138,500.0,74,500.0,,10.5,500.0,87,500.0,0.53,500.0,58,500.0,,25.5,500.0,87,500.0,4.2,500.0,42,500.0,,25.5,500.0,87,500.0,7.9,500.0,47,500.0,
,,,,0.56,540.0,39,540.0,146,540.0,78,540.0,,11,540.0,84,540.0,0.56,540.0,61,540.0,,26,540.0,84,540.0,4.4,540.0,44,540.0,,26,540.0,84,540.0,8.3,540.0,49,540.0,
,,,,0.59,580.0,36,580.0,154,580.0,82,580.0,,11.5,580.0,81,580.0,0.59,580.0,64,580.0,,26.5,580.0,81,580.0,4.6,580.0,46,580.0,,26.5,580.0,81,580.0,8.7,580.0,51,580.0,
,,,,0.62,620.0,33,620.0,162,620.0,86,620.0,,12,620.0,78,620.0,0.62,620.0,67,620.0,,27,620.0,78,620.0,4.8,620.0,48,620.0,,27,620.0,78,620.0,9.1,620.0,53,620.0,
,,,,0.65,660.0,30,660.0,170,660.0,90,660.0,,12.5,660.0,75,660.0,0.65,660.0,70,660.0,,27.5,660.0,75,660.0,5,660.0,50,660.0,,27.5,660.0,75,660.0,9.5,660.0,55,660.0,
,,,,0.68,700.0,30,Max,178,700.0,90,Max,,13,700.0,75,Max,0.68,700.0,70,Max,,28,700.0,75,Max,5.2,700.0,50,Max,,28,700.0,75,Max,9.9,700.0,55,Max,
,,,,0.71,740.0,,,186,740.0,,,,13.5,740.0,,,0.71,740.0,,,,28.5,740.0,,,5.4,740.0,,,,28.5,740.0,,,10.3,740.0,,,
,,,,0.74,780.0,,,194,780.0,,,,14,780.0,,,0.74,780.0,,,,29,780.0,,,5.6,780.0,,,,29,780.0,,,10.7,780.0,,,
,,,,0.77,820.0,,,202,820.0,,,,14.5,820.0,,,0.77,820.0,,,,29.5,820.0,,,5.8,820.0,,,,29.5,820.0,,,11.1,820.0,,,
,,,,0.8,860.0,,,210,860.0,,,,15,860.0,,,0.8,860.0,,,,30,860.0,,,6,860.0,,,,30,860.0,,,11.5,860.0,,,
,,,,0.8,Max,,,210,Max,,,,15,Max,,,0.8,Max,,,,30,Max,,,6,Max,,,,30,Max,,,11.5,Max,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
